ID,Отдел,Должность,Руководитель_ID  
1,Высшее руководство,Генеральный директор,  
2,Высшее руководство,Финансовый директор,1  
3,Высшее руководство,Технический директор,1  
4,HR,Менеджер по персоналу,1  
5,HR,Рекрутер,4  
6,Финансы,Бухгалтер,2  
7,Финансы,Финансовый аналитик,2  
8,Продажи,Менеджер по продажам,3  
9,Продажи,Торговый представитель,8  
10,IT,Ведущий разработчик,3  
11,IT,Бэкенд-разработчик,10  
12,IT,Фронтенд-разработчик,10  
13,Маркетинг,Маркетинг-менеджер,1  
14,Маркетинг,Контент-специалист,13  
15,Логистика,Менеджер по логистике,3  
16,Логистика,Складской специалист,15  
17,Поддержка клиентов,Руководитель поддержки,3  
18,Поддержка клиентов,Агент поддержки,17  
19,Производство,Производственный менеджер,3  
20,Производство,Техник,19  
