ID,Название,Категория,Производитель,Цена (руб),Количество,Срок годности,Рецептурный
1,Нурофен,Обезболивающее,Reckitt Benckiser,250,50,2025-12-01,Нет
2,Парацетамол,Жаропонижающее,Фармстандарт,80,120,2024-10-15,Нет
3,Амоксиклав,Антибиотик,Sandoz,450,30,2025-05-20,Да
4,Эреспал,Противокашлевое,Servier,320,25,2024-11-30,Да
5,Лазолван,Отхаркивающее,Boehringer Ingelheim,380,40,2025-08-10,Нет
6,Кларитин,Антигистаминное,Bayer,290,60,2026-03-05,Нет
7,Мезим,Ферменты,Berlin-Chemie,150,80,2025-07-22,Нет
8,Омепразол,Гастропротектор,Teva,120,45,2025-09-14,Да
9,Валерьянка,Успокоительное,Фармстандарт,50,200,2024-12-01,Нет
10,Афобазол,Анксиолитик,Отисифарм,420,35,2025-11-01,Нет
11,Називин,Сосудосуживающее,Bayer,180,70,2024-10-01,Нет
12,Мирамистин,Антисептик,Инфамед,350,55,2026-02-28,Нет
13,Фенистил,Противоаллергическое,Novartis,400,30,2025-06-15,Нет
14,Арбидол,Противовирусное,Фармстандарт,500,20,2025-04-30,Нет
15,Глицин,Ноотропное,Биотики,60,150,2025-10-10,Нет
16,Цетрин,Антигистаминное,Dr. Reddy’s,220,40,2026-01-12,Нет
17,Смекта,Энтеросорбент,Ipsen,140,65,2025-03-25,Нет
18,Линекс,Пробиотик,Sandoz,600,25,2025-07-18,Нет
19,Кагоцел,Иммуномодулятор,Ниармедик,280,50,2025-09-05,Нет
20,Валсартан,Гипотензивное,Вертекс,310,30,2025-12-20,Да
